input,output
Turn off the speaker 3 when you can.,turn_off.speaker_3
"Turn off the living room TV, please.",turn_off.living_room_TV
Unlock the fan 2 to 72 degrees.,unlock.fan_2
I want to increase the light 3.,increase.light_3
Could you unlock the bedroom window for me?,unlock.bedroom_window
Help me lock the microwave.,lock.microwave
Remind me to play the living room TV.,play.living_room_TV
I forgot to decrease the door 3.,decrease.door_3
Don't close the humidifier yet.,close.humidifier
I would like to play the heater.,play.heater
"Hey, turn off the speaker 2.",turn_off.speaker_2
Would you mind decrease the speaker 3?,decrease.speaker_3
Could you please unlock the blinds?,unlock.blinds
Don't open the washing machine yet.,open.washing_machine
Help me resume the living room music.,resume.living_room_music
Turn on my fan 5.,turn_on.fan_5
Let's play the oven.,play.oven
"It's too hot, play the door.",play.door
Can we play the coffee maker now?,play.coffee_maker
Help me set the door 2.,set.door_2
Remind me to increase the light.,increase.light
Remind me to resume the blinds.,resume.blinds
Remind me to close the thermostat.,close.thermostat
Make sure to lock the light 4.,lock.light_4
"Hey, increase the light 2.",increase.light_2
I need you to stop the fan 5.,stop.fan_5
"Play the thermostat 3, please.",play.thermostat_3
Could you stop my heater?,stop.heater
Maybe turn on the shower later.,turn_on.shower
Do you mind turn on the speaker 5?,turn_on.speaker_5
Could you turn on the outdoor light for me?,turn_on.outdoor_light
I forgot to unlock the light 3.,unlock.light_3
Don't decrease the kitchen faucet yet.,decrease.kitchen_faucet
I want to resume the light 3.,resume.light_3
I forgot to close the light 1.,close.light_1
Don't forget to set the window 3.,set.window_3
Let's unlock the window 4.,unlock.window_4
Don't open the porch light yet.,open.porch_light
I need you to resume the door 1.,resume.door_1
Turn on my back door.,turn_on.back_door
Please lock some thermostat 1.,lock.thermostat_1
Remind me to resume the porch light.,resume.porch_light
Please increase the alarm.,increase.alarm
Let's pause the bathtub.,pause.bathtub
It's time to open the bathroom light.,open.bathroom_light
Please pause some window.,pause.window
Maybe lock the light later.,lock.light
"It's too cold, set the indoor light.",set.indoor_light
I'd like to turn off some living room light.,turn_off.living_room_light
Pause the front door right away.,pause.front_door
"Turn off the speaker 1, please.",turn_off.speaker_1
I want to increase the front door.,increase.front_door
Close the back door when you can.,close.back_door
I forgot to play the kitchen faucet.,play.kitchen_faucet
Turn off the front door now.,turn_off.front_door
Can you lock the window 3?,lock.window_3
Time to stop the living room light.,stop.living_room_light
Could you please set the speaker 5?,set.speaker_5
Don't decrease the bedroom TV yet.,decrease.bedroom_TV
"It's too cold, open the speaker 2.",open.speaker_2
I need you to set the thermostat to 73 degrees.,set.thermostat.73
Could you turn on the bathroom faucet for me?,turn_on.bathroom_faucet
I want to increase the thermostat 4.,increase.thermostat.2
Can we increase the light 4 now?,increase.light_4
Would you mind set the light 4?,set.light_4
Kindly turn off the thermostat 5.,turn_off.thermostat_5
Unlock the thermostat 5 when you can.,unlock.thermostat_5
Can you lock the bathroom light?,lock.bathroom_light
Time to pause the speaker 1.,pause.speaker_1
Do you mind close the window 5?,close.window_5
I forgot to lock the indoor light.,lock.indoor_light
Help me turn off the dehumidifier.,turn_off.dehumidifier
I forgot to pause the bedroom TV.,pause.bedroom_TV
Maybe turn off the garden lights later.,turn_off.garden_lights
I would like to unlock the fountain.,unlock.fountain
Why don't we set the thermostat to 80 degrees?,set.thermostat.80
"Increase the hallway light, please.",increase.hallway_light
Kindly set the security system.,set.security_system
I'd like to turn off some thermostat 3.,turn_off.thermostat_3
Can you pause the news?,pause.news
Help me play the kitchen light.,play.kitchen_light
Please stop some door 2.,stop.door_2
Don't turn off the kitchen light yet.,turn_off.kitchen_light
Maybe resume the garden lights later.,resume.garden_lights
Make sure to resume the dryer.,resume.dryer
Can we play the radio now?,play.radio
I forgot to set the jazz music.,set.jazz_music
Please set some heater.,set.heater
"It's too cold, set the sprinklers.",set.sprinklers
Increase the shower to 72 degrees.,increase.shower
Let's resume the light 1.,resume.light_1
Please decrease the music.,decrease.music
"Decrease the dishwasher, please.",decrease.dishwasher
"Hey, open the garage light.",open.garage_light
Make sure to increase the microwave.,increase.microwave
Can we turn off the bathroom light now?,turn_off.bathroom_light
Make sure to turn off the oven.,turn_off.oven
Maybe increase the fountain later.,increase.fountain
Could you stop the door 1 for me?,stop.door_1
It's time to unlock the indoor light.,unlock.indoor_light
"It's too hot, close the window 4.",close.window_4
I want to close the light 4.,close.light_4
I want to stop the humidifier.,stop.humidifier
Can we decrease the door 4 now?,decrease.door_4
Could you turn off my light 2?,turn_off.light_2
Could you please open the blinds?,open.blinds
Don't pause the blinds yet.,pause.blinds
It's time to turn off the humidifier.,turn_off.humidifier
Would you mind decrease the news?,decrease.news
Make sure to turn on the microwave.,turn_on.microwave
Help me set the light 1.,set.light_1
Turn off the window now.,turn_off.window
Why don't we close the thermostat 2?,close.thermostat_2
Can we unlock the freezer now?,unlock.freezer
Help me resume the fan.,resume.fan
Maybe resume the fan 4 later.,resume.fan_4
"Stop the air conditioner, thanks.",stop.air_conditioner
I forgot to increase the garden lights.,increase.garden_lights
"Unlock the front door, thanks.",unlock.front_door
Can we turn on the light 1 now?,turn_on.light_1
"It's too hot, increase the sprinklers.",increase.sprinklers
Can we open the window now?,open.window
Set my speaker 3.,set.speaker_3
"Unlock the coffee maker, please.",unlock.coffee_maker
Why don't we turn off the fountain?,turn_off.fountain
Maybe pause the hallway light later.,pause.hallway_light
I would like to stop the washing machine.,stop.washing_machine
"Hey, increase the door 5.",increase.door_5
Why don't we turn off the garage light?,turn_off.garage_light
I forgot to open the window 5.,open.window_5
Unlock the thermostat now.,unlock.thermostat
Maybe turn on the window 2 later.,turn_on.window_2
I would like to stop the speaker 1.,stop.speaker_1
Play the light 2 now.,play.light_2
Remind me to decrease the fan 5.,decrease.fan_5
Time to turn off the speaker 5.,turn_off.speaker_5
"Decrease the coffee maker, please.",decrease.coffee_maker
I forgot to play the curtains.,play.curtains
"Lock the fountain, please.",lock.fountain
"It's too cold, play the porch light.",play.porch_light
"Lock the hallway light, thanks.",lock.hallway_light
"Play the outdoor light, thanks.",play.outdoor_light
Make sure to open the fan 3.,open.fan_3
Decrease the washing machine now.,decrease.washing_machine
Do you mind resume the door?,resume.door
Maybe unlock the sprinklers later.,unlock.sprinklers
I forgot to turn on the fan 2.,turn_on.fan_2
Help me increase the freezer.,increase.freezer
"It's too cold, close the bedroom light.",close.bedroom_light
"Hey, set the door 4.",set.door_4
"Hey, turn on the radio.",turn_on.radio
Set the coffee maker to 72 degrees.,set.coffee_maker
Let's resume the oven.,resume.oven
"Lock the door 5, thanks.",lock.door_5
I'd like to lock some humidifier.,lock.humidifier
"Stop the fan, please.",stop.fan
"Hey, decrease the security system.",decrease.security_system
Could you turn off the thermostat 2 for me?,turn_off.thermostat_2
Make sure to increase the porch light.,increase.porch_light
Kindly open the dishwasher.,open.dishwasher
I forgot to turn off the hallway light.,turn_off.hallway_light
It's time to close the living room music.,close.living_room_music
Don't forget to stop the thermostat 5.,stop.thermostat_5
Why don't we turn on the window 4?,turn_on.window_4
Please unlock some speaker 4.,unlock.speaker_4
Do you mind play the window?,play.window
Can you stop the fan 2?,stop.fan_2
Help me unlock the kitchen faucet.,unlock.kitchen_faucet
Please close some coffee maker.,close.coffee_maker
Do you mind turn on the porch light?,turn_on.porch_light
"Turn on the speaker 4, please.",turn_on.speaker_4
Open the light 4 when you can.,open.light_4
It's time to open the fountain.,open.fountain
Could you please turn off the light 1?,turn_off.light_1
Maybe turn off the door later.,turn_off.door
Why don't we set the thermostat to 64 degrees?,set.thermostat.64
Make sure to resume the door 3.,resume.door_3
Pause the freezer when you can.,pause.freezer
Please open the thermostat 5.,open.thermostat_5
Make sure to resume the window 4.,resume.window_4
Please turn on some fan 4.,turn_on.fan_4
"Hey, stop the dehumidifier.",stop.dehumidifier
Please increase the music.,increase.music
Can you close the music?,close.music
Pause the door 5 now.,pause.door_5
Kindly pause the bedroom window.,pause.bedroom_window
Help me resume the washing machine.,resume.washing_machine
Don't forget to turn on the front door.,turn_on.front_door
"It's too cold, set the light 5.",set.light_5
Can we pause the sprinklers now?,pause.sprinklers
Can we resume the playlist now?,resume.playlist
I would like to close the bedroom TV.,close.bedroom_TV
Increase the dryer to 72 degrees.,increase.dryer
Can we lock the light 1 now?,lock.light_1
Don't forget to pause the light 3.,pause.light_3
"Unlock the security system, please.",unlock.security_system
Lock the living room TV when you can.,lock.living_room_TV
I'd like to increase some blinds.,increase.blinds
Play my bathroom faucet.,play.bathroom_faucet
I need you to play the alarm.,play.alarm
I need you to resume the light 4.,resume.light_4
I would like to set the garage door.,set.garage_door
Help me close the volume.,close.volume
Time to play the garden lights.,play.garden_lights
Please increase some thermostat 3.,increase.thermostat.3
Kindly unlock the hallway light.,unlock.hallway_light
Could you lock the living room music for me?,lock.living_room_music
Could you open my kitchen light?,open.kitchen_light
Remind me to set the dryer.,set.dryer
Lock the kitchen faucet right away.,lock.kitchen_faucet
Please close the bathtub.,close.bathtub
I forgot to decrease the fountain.,decrease.fountain
Please stop the light 4.,stop.light_4
"It's too cold, close the window 3.",close.window_3
I'd like to turn off some shower.,turn_off.shower
Do you mind unlock the bathtub?,unlock.bathtub
I'd like to resume some humidifier.,resume.humidifier
Can you close the oven?,close.oven
Help me lock the thermostat 2.,lock.thermostat_2
Maybe turn on the garden lights later.,turn_on.garden_lights
I need you to turn off the microwave.,turn_off.microwave
Please turn off some coffee maker.,turn_off.coffee_maker
Turn on the door 5 now.,turn_on.door_5
Could you please play the dishwasher?,play.dishwasher
Why don't we lock the door 4?,lock.door_4
Can we turn off the heater now?,turn_off.heater
Increase the living room TV when you can.,increase.living_room_TV
"It's too hot, increase the bathtub.",increase.bathtub
I'd like to resume some living room TV.,resume.living_room_TV
I forgot to open the alarm.,open.alarm
I forgot to stop the fountain.,stop.fountain
"Hey, decrease the door 2.",decrease.door_2
Could you decrease the garage light for me?,decrease.garage_light
Maybe stop the alarm later.,stop.alarm
Time to resume the dehumidifier.,resume.dehumidifier
Do you mind open the living room TV?,open.living_room_TV
Maybe increase the thermostat later.,increase.thermostat.5
"Turn off the blinds, thanks.",turn_off.blinds
Maybe decrease the sprinklers later.,decrease.sprinklers
Could you turn off my curtains?,turn_off.curtains
Could you lock the window for me?,lock.window
Decrease my light.,decrease.light
Why don't we open the hallway light?,open.hallway_light
Time to close the freezer.,close.freezer
Would you mind turn on the window 5?,turn_on.window_5
"Open the fan 4, please.",open.fan_4
Set the volume when you can.,set.volume
Let's lock the light 3.,lock.light_3
"It's too cold, resume the speaker 4.",resume.speaker_4
Stop the thermostat 1 now.,stop.thermostat_1
Set the shower right away.,set.shower
I'd like to pause some garden lights.,pause.garden_lights
"Unlock the music, thanks.",unlock.music
Increase my living room light.,increase.living_room_light
Decrease the blinds when you can.,decrease.blinds
I want to close the outdoor light.,close.outdoor_light
I'd like to turn on some light 3.,turn_on.light_3
"Hey, unlock the garage light.",unlock.garage_light
"It's too hot, open the thermostat 2.",open.thermostat_2
Turn off the fridge to 72 degrees.,turn_off.fridge
I need you to stop the light 2.,stop.light_2
Kindly unlock the washing machine.,unlock.washing_machine
"Open the radio, please.",open.radio
Open the door 4 now.,open.door_4
Decrease the indoor light to 72 degrees.,decrease.indoor_light
Please pause the light 4.,pause.light_4
Help me pause the dishwasher.,pause.dishwasher
Do you mind resume the bathroom light?,resume.bathroom_light
Increase the door 1 when you can.,increase.door_1
Stop the door to 72 degrees.,stop.door
Time to set the thermostat to 63 degrees.,set.thermostat.63
Why don't we set the bathtub?,set.bathtub
I forgot to increase the news.,increase.news
Don't lock the dryer yet.,lock.dryer
Decrease the heater right away.,decrease.heater
I'd like to play some speaker 4.,play.speaker_4
Why don't we unlock the shower?,unlock.shower
Can we turn off the outdoor light now?,turn_off.outdoor_light
Don't decrease the freezer yet.,decrease.freezer
Don't play the playlist yet.,play.playlist
I forgot to turn off the thermostat 1.,turn_off.thermostat_1
Don't forget to increase the speaker 2.,increase.speaker_2
Help me set the fountain.,set.fountain
Make sure to increase the radio.,increase.radio
I'd like to resume some fan 2.,resume.fan_2
Could you turn on my thermostat 1?,turn_on.thermostat_1
I want to unlock the playlist.,unlock.playlist
Don't forget to close the bathroom faucet.,close.bathroom_faucet
Can we turn on the speaker 1 now?,turn_on.speaker_1
Don't set the freezer yet.,set.freezer
Why don't we stop the door 4?,stop.door_4
Resume the bathtub when you can.,resume.bathtub
"Close the speaker 5, thanks.",close.speaker_5
"It's too hot, set the TV.",set.TV
Could you turn on the living room TV for me?,turn_on.living_room_TV
Would you mind pause the coffee maker?,pause.coffee_maker
Can you stop the fan 1?,stop.fan_1
Maybe turn on the fountain later.,turn_on.fountain
Why don't we decrease the curtains?,decrease.curtains
Could you close my curtains?,close.curtains
Let's increase the thermostat 5.,increase.thermostat.1
Remind me to turn off the playlist.,turn_off.playlist
Remind me to play the sprinklers.,play.sprinklers
Can you pause the dehumidifier?,pause.dehumidifier
Let's close the garden lights.,close.garden_lights
"Hey, stop the door 5.",stop.door_5
I would like to turn on the dishwasher.,turn_on.dishwasher
Would you mind open the bedroom light?,open.bedroom_light
"Resume the indoor light, please.",resume.indoor_light
Unlock my fan.,unlock.fan
Please set the light 3.,set.light_3
Don't forget to open the door.,open.door
Please lock some outdoor light.,lock.outdoor_light
Don't unlock the speaker 2 yet.,unlock.speaker_2
"Increase the garage light, please.",increase.garage_light
Please decrease the light 3.,decrease.light_3
"It's too hot, decrease the dryer.",decrease.dryer
Can we lock the radio now?,lock.radio
I'd like to close some bedroom window.,close.bedroom_window
Why don't we increase the kitchen light?,increase.kitchen_light
I need you to stop the thermostat 4.,stop.thermostat_4
Kindly stop the window 1.,stop.window_1
Can you close the thermostat 4?,close.thermostat_4
Make sure to turn off the light 4.,turn_off.light_4
Maybe decrease the fan 1 later.,decrease.fan_1
Would you mind unlock the light 5?,unlock.light_5
Don't increase the volume yet.,increase.volume
Don't forget to decrease the speaker 1.,decrease.speaker_1
Could you turn on my news?,turn_on.news
I forgot to play the volume.,play.volume
"Unlock the living room music, please.",unlock.living_room_music
Maybe close the light 5 later.,close.light_5
Let's stop the window 4.,stop.window_4
Would you mind close the news?,close.news
Please close the microwave.,close.microwave
Could you please decrease the alarm?,decrease.alarm
Why don't we set the fridge?,set.fridge
Play the classical music in the bedroom right away.,play.music.classical.in_the_bedroom
Maybe increase the curtains later.,increase.curtains
I want to set the door 5.,set.door_5
Set the humidifier when you can.,set.humidifier
I need you to open the window 4.,open.window_4
Resume the jazz music to 72 degrees.,resume.jazz_music
Do you mind lock the coffee maker?,lock.coffee_maker
Decrease the front door when you can.,decrease.front_door
Increase the coffee maker right away.,increase.coffee_maker
Stop the window to 72 degrees.,stop.window
"Decrease the thermostat 4, please.",decrease.thermostat.2
Decrease my speaker 4.,decrease.speaker_4
Resume the speaker 2 to 72 degrees.,resume.speaker_2
I forgot to increase the door 2.,increase.door_2
Could you pause my playlist?,pause.playlist
Close the porch light to 72 degrees.,close.porch_light
Why don't we play the bedroom TV?,play.bedroom_TV
Resume the thermostat when you can.,resume.thermostat
I'd like to unlock some kitchen light.,unlock.kitchen_light
Time to turn on the window 1.,turn_on.window_1
Turn on the speaker 2 to 72 degrees.,turn_on.speaker_2
"It's too hot, close the fan 4.",close.fan_4
Unlock the fan 5 to 72 degrees.,unlock.fan_5
Lock the jazz music now.,lock.jazz_music
"Open the music, thanks.",open.music
Remind me to stop the freezer.,stop.freezer
Turn off my TV.,turn_off.TV
Kindly close the indoor light.,close.indoor_light
Set the window 4 right away.,set.window_4
Could you turn off the bathroom faucet for me?,turn_off.bathroom_faucet
Can we lock the bedroom window now?,lock.bedroom_window
Can we turn on the garage door now?,turn_on.garage_door
Let's set the garage light.,set.garage_light
Kindly lock the TV.,lock.TV
I would like to close the window 2.,close.window_2
Can you resume the bedroom TV?,resume.bedroom_TV
Time to turn off the indoor light.,turn_off.indoor_light
Can we turn on the thermostat 2 now?,turn_on.thermostat_2
Time to pause the fan 5.,pause.fan_5
Please turn off some living room music.,turn_off.living_room_music
Let's play the shower.,play.shower
Don't forget to increase the humidifier.,increase.humidifier
"It's too cold, increase the jazz music.",increase.jazz_music
Remind me to pause the thermostat 2.,pause.thermostat_2
"It's too cold, resume the music.",resume.music
Kindly pause the door 3.,pause.door_3
"It's too hot, open the fan 1.",open.fan_1
I need you to play the window 2.,play.window_2
Close the bathroom light when you can.,close.bathroom_light
Could you please stop the oven?,stop.oven
Can you pause the humidifier?,pause.humidifier
Do you mind turn off the light 3?,turn_off.light_3
Set the news right away.,set.news
"Hey, set the living room TV.",set.living_room_TV
"It's too cold, open the thermostat 4.",open.thermostat_4
Make sure to resume the thermostat 2.,resume.thermostat_2
It's time to decrease the dehumidifier.,decrease.dehumidifier
It's time to lock the light 2.,lock.light_2
Close the hallway light to 72 degrees.,close.hallway_light
Unlock the alarm to 72 degrees.,unlock.alarm
Make sure to lock the dishwasher.,lock.dishwasher
Remind me to pause the garage door.,pause.garage_door
"It's too hot, resume the living room light.",resume.living_room_light
I need you to decrease the microwave.,decrease.microwave
I'd like to lock some window 4.,lock.window_4
Kindly turn off the light.,turn_off.light
Resume the air conditioner when you can.,resume.air_conditioner
Help me close the window.,close.window
Why don't we open the door 3?,open.door_3
I would like to decrease the window 3.,decrease.window_3
Play the hallway light to 72 degrees.,play.hallway_light
I would like to increase the light 1.,increase.light_1
Why don't we stop the coffee maker?,stop.coffee_maker
"Lock the thermostat 5, thanks.",lock.thermostat_5
Why don't we close the jazz music?,close.jazz_music
I need you to open the fan 5.,open.fan_5
Can you set the fan 2?,set.fan_2
"Turn on the TV, thanks.",turn_on.TV
Kindly pause the speaker 3.,pause.speaker_3
Would you mind turn on the fan 3?,turn_on.fan_3
Resume the fan 5 when you can.,resume.fan_5
Turn off the fan right away.,turn_off.fan
Please increase the indoor light.,increase.indoor_light
Can you unlock the light 4?,unlock.light_4
I need you to resume the thermostat 3.,resume.thermostat_3
"Hey, stop the speaker 2.",stop.speaker_2
I want to decrease the playlist.,decrease.playlist
I would like to increase the kitchen faucet.,increase.kitchen_faucet
Please pause some radio.,pause.radio
"It's too hot, pause the window 5.",pause.window_5
Don't forget to lock the garage light.,lock.garage_light
Lock the air conditioner when you can.,lock.air_conditioner
Don't forget to turn on the bedroom window.,turn_on.bedroom_window
Would you mind pause the door 1?,pause.door_1
Could you increase the door 3 for me?,increase.door_3
Do you mind resume the kitchen faucet?,resume.kitchen_faucet
I need you to turn on the dryer.,turn_on.dryer
Set the speaker 4 when you can.,set.speaker_4
"It's too cold, open the thermostat 1.",open.thermostat_1
"Turn off the door 2, thanks.",turn_off.door_2
Set my window.,set.window
Could you turn on the washing machine for me?,turn_on.washing_machine
Help me lock the garage door.,lock.garage_door
Lock the volume now.,lock.volume
It's time to lock the freezer.,lock.freezer
Resume the door 2 now.,resume.door_2
Unlock the heater when you can.,unlock.heater
I would like to resume the window 2.,resume.window_2
Help me lock the living room light.,lock.living_room_light
Stop the living room music to 72 degrees.,stop.living_room_music
Maybe increase the window 3 later.,increase.window_3
Make sure to unlock the window.,unlock.window
Time to stop the playlist.,stop.playlist
Don't forget to turn off the security system.,turn_off.security_system
I would like to lock the speaker 3.,lock.speaker_3
Can we turn off the air conditioner now?,turn_off.air_conditioner
Maybe close the light 3 later.,close.light_3
Would you mind stop the speaker 5?,stop.speaker_5
Can you turn on the oven?,turn_on.oven
Can you play the thermostat 1?,play.thermostat_1
Pause the door 2 when you can.,pause.door_2
Can you increase the bedroom window?,increase.bedroom_window
It's time to close the living room light.,close.living_room_light
Let's lock the window 5.,lock.window_5
Please stop the dishwasher.,stop.dishwasher
It's time to stop the microwave.,stop.microwave
I want to turn on the jazz music.,turn_on.jazz_music
"Increase the air conditioner, thanks.",increase.air_conditioner
Could you please set the window 2?,set.window_2
Turn off the window 5 when you can.,turn_off.window_5
Please turn on some fan 1.,turn_on.fan_1
Do you mind increase the back door?,increase.back_door
Do you mind turn on the kitchen light?,turn_on.kitchen_light
Set my playlist.,set.playlist
Why don't we resume the outdoor light?,resume.outdoor_light
Kindly open the thermostat 3.,open.thermostat_3
Resume the news right away.,resume.news
Set the microwave right away.,set.microwave
It's time to unlock the living room light.,unlock.living_room_light
Please turn off the dishwasher.,turn_off.dishwasher
Make sure to decrease the light 2.,decrease.light_2
Time to turn off the door 1.,turn_off.door_1
Unlock the news when you can.,unlock.news
I'd like to play some front door.,play.front_door
I need you to increase the window 4.,increase.window_4
I would like to lock the thermostat 3.,lock.thermostat_3
I forgot to open the speaker 4.,open.speaker_4
Please close some TV.,close.TV
Kindly resume the security system.,resume.security_system
Can you turn on the blinds?,turn_on.blinds
I forgot to turn on the indoor light.,turn_on.indoor_light
Decrease the volume to 72 degrees.,decrease.volume
I want to increase the security system.,increase.security_system
Please open the fridge.,open.fridge
Why don't we play the back door?,play.back_door
Maybe decrease the fan 4 later.,decrease.fan_4
"It's too cold, play the fan 4.",play.fan_4
"It's too cold, unlock the bedroom light.",unlock.bedroom_light
Please turn off the fan 1.,turn_off.fan_1
Do you mind turn on the window?,turn_on.window
Make sure to stop the music.,stop.music
Don't forget to open the door 5.,open.door_5
Please lock some bedroom light.,lock.bedroom_light
Could you close my air conditioner?,close.air_conditioner
Would you mind close the alarm?,close.alarm
Would you mind increase the dishwasher?,increase.dishwasher
Let's turn on the freezer.,turn_on.freezer
Time to stop the thermostat 2.,stop.thermostat_2
"Hey, play the fridge.",play.fridge
"Hey, pause the speaker 5.",pause.speaker_5
Make sure to decrease the speaker 5.,decrease.speaker_5
Set the thermostat to 68 degrees to 72 degrees.,set.thermostat.68
Can we pause the speaker 2 now?,pause.speaker_2
"It's too hot, set the hallway light.",set.hallway_light
"Pause the garage light, please.",pause.garage_light
It's time to pause the door.,pause.door
Don't open the jazz music yet.,open.jazz_music
Play the bedroom window to 72 degrees.,play.bedroom_window
Could you please set the garden lights?,set.garden_lights
Can we decrease the thermostat 1 now?,decrease.thermostat.1
Resume the window 1 right away.,resume.window_1
Don't set the door 3 yet.,set.door_3
"Turn off the window 1, please.",turn_off.window_1
Remind me to stop the thermostat.,stop.thermostat
Stop the door 3 now.,stop.door_3
Please turn on the bedroom TV.,turn_on.bedroom_TV
Lock the fan now.,lock.fan
Help me close the thermostat 1.,close.thermostat_1
Would you mind turn on the door 1?,turn_on.door_1
Turn off the music to 72 degrees.,turn_off.music
Please resume the light 2.,resume.light_2
Kindly increase the window.,increase.window
Open the heater to 72 degrees.,open.heater
I forgot to play the blues music in the kitchen.,play.music.blues.in_the_kitchen
Would you mind turn on the fridge?,turn_on.fridge
Don't forget to unlock the door 2.,unlock.door_2
Please play the microwave.,play.microwave
I want to turn on the thermostat.,turn_on.thermostat
Can you turn on the security system?,turn_on.security_system
Can you decrease the back door?,decrease.back_door
I'd like to play some window 5.,play.window_5
Make sure to increase the fan 4.,increase.fan_4
Don't forget to turn off the thermostat.,turn_off.thermostat
I'd like to turn off some door 4.,turn_off.door_4
Let's open the freezer.,open.freezer
Make sure to resume the fridge.,resume.fridge
Do you mind turn on the air conditioner?,turn_on.air_conditioner
Help me unlock the TV.,unlock.TV
I would like to pause the fan 1.,pause.fan_1
Please unlock some bathroom light.,unlock.bathroom_light
Time to turn off the fan 2.,turn_off.fan_2
"Lock the sprinklers, please.",lock.sprinklers
